lead_id,lead_profile,persona_profile,need_profile
1247,L1,P3,N3
1248,L3,P2,N1
1249,L4,P4,N1
1250,L1,P1,N2
1251,L2,P3,N1
1252,L3,P1,N2
1253,L3,P1,N3
1254,L2,P2,N1
1255,L1,P7,N2
1256,L2,P1,N1
1257,L2,P7,N1
1258,L5,P1,N3
1259,L3,P3,N1
1260,L1,P2,N1
1261,L3,P3,N2
1262,L3,P2,N1
1263,L1,P3,N1
1264,L3,P3,N1
1265,L1,P3,N1
1266,L6,P3,N3
1267,L3,P6,N2
1268,L1,P2,N1
1269,L2,P5,N3
1270,L1,P1,N1
1271,L2,P5,N1
1272,L4,P4,N3
1273,L1,P3,N3
1274,L3,P6,N1
1275,L3,P7,N1
1276,L2,P6,N3
1277,L2,P2,N1
1278,L6,P3,N1
1279,L6,P7,N2
1280,L1,P5,N3
1281,L4,P4,N2
1282,L5,P1,N1
1283,L2,P5,N3
1284,L3,P5,N1
1285,L1,P1,N2
1286,L6,P1,N1
1287,L2,P3,N2
1288,L3,P1,N2
1289,L5,P6,N1
1290,L1,P1,N2
1291,L1,P3,N3
1292,L1,P1,N1
1293,L4,P4,N1
1294,L3,P1,N1
1295,L5,P6,N2
1296,L1,P5,N2
1297,L2,P6,N1
1298,L6,P3,N1
1299,L2,P1,N2
1300,L2,P1,N1
1301,L1,P3,N1
1302,L2,P1,N1
1303,L2,P1,N2
1304,L3,P2,N3
1305,L1,P1,N2
1306,L5,P5,N1
1307,L5,P2,N3
1308,L1,P2,N1
1309,L2,P3,N3
1310,L1,P2,N1
1311,L2,P3,N3
1312,L1,P1,N3
1313,L3,P3,N3
1314,L2,P5,N1
1315,L1,P3,N3
1316,L4,P4,N2
1317,L4,P4,N1
1318,L3,P1,N1
1319,L1,P4,N2
1320,L1,P1,N3
1321,L4,P4,N2
1322,L6,P3,N1
1323,L1,P3,N2
1324,L1,P1,N3
1325,L4,P5,N1
1326,L1,P3,N2
1327,L6,P5,N2
1328,L4,P4,N2
1329,L6,P4,N2
1330,L1,P3,N1
1331,L1,P3,N2
1332,L1,P6,N1
1333,L1,P2,N3
1334,L2,P6,N3
1335,L5,P7,N3
1336,L1,P5,N3
1337,L2,P7,N2
1338,L4,P4,N1
1339,L5,P2,N3
1340,L5,P2,N1
1341,L5,P7,N3
1342,L2,P6,N1
1343,L3,P5,N3
1344,L2,P5,N2
1345,L1,P2,N3
1346,L2,P6,N1
1347,L2,P5,N2
1348,L6,P1,N3
1349,L1,P1,N1
1350,L1,P1,N1
1351,L1,P5,N1
1352,L2,P3,N2
1353,L3,P5,N2
1354,L6,P6,N2
1355,L1,P3,N1
1356,L3,P3,N1
1357,L2,P7,N3
1358,L2,P3,N2
1359,L2,P2,N1
1360,L2,P7,N1
1361,L1,P3,N1
1362,L6,P3,N3
1363,L4,P4,N2
1364,L4,P4,N2
1365,L4,P4,N2
1366,L1,P3,N3
1367,L3,P3,N1
1368,L1,P3,N1
1369,L1,P1,N1
1370,L2,P1,N3
1371,L3,P2,N2
1372,L2,P1,N2
1373,L5,P2,N3
1374,L2,P6,N1
1375,L2,P7,N1
1376,L1,P3,N2
1377,L1,P3,N3
1378,L5,P2,N1
1379,L1,P2,N1
1380,L5,P3,N3
1381,L1,P5,N2
1382,L1,P1,N2
1383,L2,P3,N1
1384,L5,P6,N1
1385,L2,P2,N1
1386,L5,P6,N1
1387,L6,P2,N3
1388,L6,P3,N2
1389,L1,P2,N3
1390,L2,P6,N1
1391,L2,P5,N1
1392,L6,P7,N2
1393,L1,P6,N1
1394,L1,P2,N1
1395,L5,P2,N3
1396,L2,P2,N3
1397,L5,P4,N3
1398,L2,P7,N1
1399,L6,P7,N3
1400,L3,P5,N1
1401,L1,P7,N2
1402,L1,P6,N2
1403,L1,P2,N2
1404,L2,P3,N2
1405,L1,P6,N1
1406,L1,P5,N1
1407,L1,P3,N2
1408,L1,P2,N3
1409,L6,P2,N1
1410,L3,P2,N1
1411,L2,P3,N3
1412,L2,P1,N2
1413,L3,P5,N2
1414,L1,P6,N2
1415,L1,P3,N3
1416,L1,P6,N2
1417,L1,P3,N2
1418,L4,P4,N2
1419,L2,P2,N1
1420,L3,P1,N3
1421,L2,P1,N3
1422,L1,P6,N2
1423,L6,P2,N1
1424,L5,P1,N2
1425,L6,P3,N1
1426,L2,P5,N2
1427,L1,P2,N1
1428,L2,P3,N3
1429,L1,P3,N3
1430,L6,P2,N1
1431,L3,P2,N2
1432,L2,P6,N3
1433,L1,P3,N1
1434,L1,P6,N1
1435,L1,P3,N1
1436,L2,P3,N3
1437,L3,P1,N1
1438,L3,P2,N1
1439,L6,P6,N1
1440,L1,P1,N1
1441,L1,P1,N1
1442,L1,P2,N2
1443,L1,P7,N1
1444,L4,P4,N2
1445,L1,P5,N2
1446,L1,P1,N3
1447,L2,P3,N3
1448,L2,P2,N2
1449,L2,P3,N3
1450,L4,P4,N2
1451,L2,P5,N1
1452,L2,P6,N1
1453,L2,P1,N2
1454,L1,P5,N1
1455,L4,P4,N3
1456,L1,P1,N3
1457,L1,P7,N2
1458,L1,P2,N3
1459,L1,P5,N2
1460,L1,P7,N1
1461,L3,P2,N1
1462,L1,P2,N3
1463,L2,P1,N1
1464,L2,P3,N3
1465,L2,P2,N1
1466,L1,P6,N1
1467,L3,P7,N2
1468,L1,P5,N3
1469,L6,P1,N3
1470,L1,P2,N1
1471,L1,P1,N3
1472,L1,P3,N2
1473,L1,P1,N3
1474,L1,P3,N1
1475,L1,P2,N2
1476,L2,P2,N1
1477,L3,P2,N2
1478,L6,P7,N1
1479,L1,P7,N3
1480,L5,P6,N1
1481,L6,P5,N2
1482,L3,P5,N2
1483,L1,P6,N1
1484,L1,P1,N1
1485,L1,P1,N2
1486,L6,P5,N2
1487,L3,P2,N2
1488,L3,P2,N2
1489,L5,P1,N1
1490,L1,P1,N3
1491,L5,P1,N1
1492,L1,P5,N2
1493,L1,P1,N3
1494,L3,P7,N3
1495,L1,P3,N1
1496,L2,P7,N1
1497,L2,P6,N2
1498,L6,P3,N1
1499,L2,P2,N2
1500,L5,P5,N2
1501,L1,P7,N1
1502,L1,P2,N1
1503,L1,P3,N2
1504,L2,P1,N2
1505,L4,P5,N1
1506,L1,P6,N1
1507,L1,P2,N3
1508,L2,P3,N2
1509,L1,P2,N2
1510,L4,P4,N3
1511,L3,P7,N3
1512,L2,P4,N2
1513,L2,P3,N3
1514,L3,P3,N1
1515,L3,P6,N2
1516,L2,P1,N2
1517,L1,P6,N2
1518,L1,P5,N2
1519,L1,P3,N1
1520,L2,P3,N3
1521,L2,P2,N3
1522,L3,P2,N3
1523,L1,P7,N1
1524,L1,P7,N3
1525,L1,P1,N2
1526,L1,P1,N3
1527,L3,P5,N1
1528,L6,P2,N3
1529,L4,P4,N2
1530,L4,P4,N2
1531,L2,P7,N3
1532,L1,P3,N1
1533,L1,P5,N2
1534,L5,P3,N1
1535,L1,P2,N1
1536,L2,P5,N1
1537,L1,P5,N1
1538,L3,P2,N1
1539,L2,P2,N3
1540,L4,P4,N1
1541,L2,P7,N2
1542,L1,P6,N1
1543,L5,P2,N1
1544,L1,P5,N1
1545,L1,P3,N1
1546,L2,P3,N1
1547,L2,P3,N3
1548,L1,P2,N2
1549,L1,P3,N1
1550,L4,P5,N2
1551,L1,P3,N1
1552,L2,P2,N2
1553,L1,P6,N3
1554,L1,P3,N1
1555,L1,P1,N1
1556,L4,P4,N2
1557,L5,P3,N1
1558,L3,P7,N1
1559,L2,P5,N2
1560,L1,P2,N2
1561,L1,P5,N1
1562,L1,P1,N3
1563,L2,P1,N1
1564,L3,P1,N1
1565,L4,P4,N2
1566,L1,P1,N2
1567,L1,P1,N2
1568,L3,P5,N2
1569,L2,P3,N2
1570,L1,P1,N3
1571,L1,P3,N2
1572,L1,P1,N1
1573,L2,P1,N2
1574,L1,P3,N1
1575,L1,P3,N2
1576,L1,P7,N1
1577,L5,P3,N1
1578,L1,P2,N2
1579,L1,P5,N2
1580,L2,P7,N1
1581,L1,P6,N3
1582,L1,P3,N3
1583,L2,P1,N3
1584,L2,P1,N1
1585,L3,P1,N1
1586,L4,P4,N1
1587,L1,P2,N1
1588,L3,P1,N1
1589,L1,P1,N3
1590,L3,P6,N2
1591,L1,P2,N1
1592,L2,P1,N1
1593,L1,P6,N1
1594,L1,P2,N2
1595,L2,P3,N1
1596,L1,P3,N1
1597,L2,P2,N2
1598,L1,P3,N1
1599,L1,P3,N2
1600,L1,P5,N3
1601,L3,P2,N1
1602,L1,P2,N1
1603,L6,P3,N3
1604,L2,P1,N1
1605,L3,P1,N1
1606,L4,P4,N1
1607,L1,P1,N2
1608,L4,P4,N3
1609,L1,P2,N1
1610,L1,P3,N1
1611,L1,P1,N1
1612,L6,P7,N1
1613,L3,P1,N2
1614,L1,P1,N1
1615,L3,P3,N1
1616,L3,P1,N1
1617,L1,P2,N1
1618,L2,P3,N1
1619,L2,P2,N2
1620,L5,P2,N1
1621,L1,P3,N2
1622,L1,P5,N1
1623,L3,P5,N1
1624,L1,P7,N3
1625,L5,P5,N3
1626,L5,P1,N1
1627,L1,P5,N1
1628,L3,P1,N3
1629,L1,P1,N2
1630,L1,P6,N1
1631,L6,P1,N1
1632,L1,P1,N1
1633,L1,P6,N2
1634,L1,P3,N2
1635,L3,P1,N1
1636,L2,P1,N1
1637,L2,P7,N1
1638,L1,P3,N2
1639,L4,P4,N3
1640,L6,P3,N2
1641,L1,P2,N2
1642,L2,P7,N1
1643,L1,P1,N2
1644,L1,P3,N1
1645,L1,P6,N1
1646,L2,P2,N1
1647,L1,P5,N3
1648,L1,P7,N1
1649,L5,P2,N1
1650,L6,P1,N3
1651,L2,P3,N2
1652,L1,P3,N1
1653,L2,P3,N1
1654,L1,P1,N3
1655,L1,P7,N1
1656,L1,P2,N1
1657,L1,P6,N1
1658,L1,P5,N1
1659,L1,P3,N2
1660,L4,P6,N3
1661,L1,P3,N1
1662,L4,P4,N3
1663,L4,P4,N2
1664,L4,P4,N2
1665,L2,P3,N1
1666,L3,P3,N1
1667,L3,P1,N2
1668,L1,P7,N2
1669,L6,P1,N1
1670,L1,P3,N3
1671,L6,P2,N1
1672,L3,P2,N1
1673,L2,P6,N1
1674,L4,P4,N3
1675,L3,P7,N3
1676,L5,P5,N3
1677,L1,P1,N3
1678,L5,P2,N3
1679,L3,P1,N1
1680,L1,P7,N1
1681,L1,P6,N3
1682,L2,P1,N3
1683,L1,P7,N1
1684,L2,P3,N3
1685,L3,P1,N1
1686,L4,P4,N3
1687,L1,P2,N2
1688,L1,P3,N2
1689,L5,P3,N3
1690,L6,P2,N1
1691,L3,P3,N1
1692,L1,P1,N1
1693,L1,P2,N3
1694,L2,P7,N3
1695,L1,P2,N1
1696,L1,P6,N2
1697,L2,P1,N1
1698,L6,P2,N1
1699,L2,P1,N2
1700,L2,P7,N1
1701,L3,P1,N1
1702,L4,P4,N2
1703,L3,P7,N2
1704,L1,P3,N2
1705,L3,P5,N1
1706,L2,P3,N1
1707,L1,P3,N2
1708,L1,P2,N3
1709,L1,P3,N3
1710,L2,P2,N3
1711,L3,P1,N2
1712,L1,P7,N3
1713,L1,P2,N2
1714,L2,P7,N1
1715,L2,P2,N2
1716,L4,P4,N1
1717,L2,P5,N1
1718,L3,P1,N1
1719,L5,P6,N1
1720,L5,P7,N2
1721,L1,P5,N3
1722,L1,P1,N1
1723,L1,P3,N1
1724,L3,P1,N3
1725,L1,P3,N1
1726,L1,P3,N1
1727,L2,P2,N3
1728,L6,P3,N3
1729,L1,P3,N2
1730,L2,P1,N1
1731,L2,P3,N2
1732,L1,P2,N3
1733,L1,P1,N3
1734,L2,P2,N1
1735,L1,P2,N3
1736,L2,P2,N2
1737,L1,P2,N1
1738,L1,P7,N1
1739,L1,P3,N1
1740,L5,P1,N3
1741,L2,P3,N1
1742,L4,P4,N2
1743,L2,P1,N1
1744,L5,P2,N2
1745,L5,P2,N1
1746,L1,P1,N3
1747,L3,P5,N2
1748,L5,P4,N2
1749,L4,P4,N2
1750,L1,P1,N2
1751,L4,P4,N3
1752,L2,P7,N1
1753,L2,P2,N3
1754,L2,P5,N1
1755,L2,P1,N2
1756,L1,P7,N3
1757,L3,P1,N3
1758,L1,P6,N1
1759,L5,P7,N1
1760,L1,P1,N3
1761,L5,P2,N1
1762,L1,P6,N3
1763,L4,P4,N1
1764,L6,P2,N1
1765,L1,P1,N2
1766,L2,P2,N1
1767,L2,P2,N1
1768,L3,P2,N1
1769,L1,P1,N3
1770,L1,P6,N2
1771,L1,P2,N3
1772,L1,P1,N1
1773,L2,P1,N1
1774,L1,P5,N1
1775,L2,P3,N1
1776,L1,P1,N1
1777,L2,P2,N1
1778,L5,P1,N1
1779,L6,P5,N2
1780,L4,P4,N1
1781,L1,P3,N2
1782,L6,P3,N1
1783,L1,P3,N2
1784,L2,P2,N3
1785,L1,P5,N3
1786,L1,P2,N3
1787,L5,P1,N1
1788,L4,P4,N1
1789,L2,P5,N3
1790,L2,P3,N3
1791,L5,P5,N2
1792,L3,P7,N1
1793,L2,P2,N2
1794,L4,P4,N3
1795,L5,P1,N1
1796,L1,P3,N3
1797,L1,P5,N3
1798,L2,P1,N2
1799,L5,P1,N1
1800,L2,P3,N1
1801,L3,P6,N3
1802,L5,P3,N2
1803,L1,P1,N2
1804,L2,P5,N1
1805,L1,P3,N3
1806,L1,P1,N2
1807,L1,P3,N3
1808,L1,P3,N1
1809,L1,P3,N2
1810,L1,P2,N1
1811,L2,P5,N2
1812,L6,P2,N1
1813,L6,P1,N2
1814,L1,P1,N2
1815,L5,P6,N2
1816,L4,P4,N3
1817,L1,P3,N1
1818,L2,P1,N3
1819,L4,P4,N1
1820,L1,P3,N3
1821,L1,P1,N1
1822,L1,P2,N2
1823,L4,P4,N1
1824,L1,P7,N1
1825,L1,P2,N1
1826,L4,P4,N1
1827,L1,P7,N1
1828,L1,P6,N1
1829,L1,P1,N2
1830,L2,P2,N1
1831,L5,P2,N1
1832,L1,P2,N3
1833,L1,P1,N2
1834,L2,P1,N1
1835,L1,P1,N1
1836,L2,P5,N1
1837,L3,P3,N2
1838,L1,P5,N3
1839,L4,P4,N2
1840,L2,P3,N3
1841,L1,P1,N2
1842,L1,P3,N3
1843,L2,P7,N2
1844,L5,P7,N2
1845,L4,P4,N2
1846,L2,P3,N2
1847,L1,P1,N1
1848,L6,P3,N1
1849,L1,P5,N1
1850,L1,P3,N1
1851,L1,P3,N3
1852,L2,P5,N2
1853,L2,P3,N1
1854,L5,P6,N1
1855,L1,P1,N1
1856,L2,P1,N3
1857,L1,P1,N3
1858,L3,P1,N1
1859,L5,P4,N1
1860,L1,P2,N3
1861,L1,P6,N2
1862,L1,P6,N3
1863,L3,P2,N1
1864,L3,P2,N1
1865,L1,P2,N2
1866,L3,P2,N1
1867,L2,P2,N3
1868,L5,P2,N2
1869,L5,P3,N1
1870,L2,P2,N1
1871,L1,P1,N2
1872,L3,P2,N3
1873,L2,P5,N1
1874,L1,P5,N2
1875,L2,P5,N1
1876,L2,P7,N3
1877,L1,P7,N2
1878,L1,P5,N1
1879,L6,P3,N2
1880,L2,P1,N2
1881,L5,P1,N2
1882,L2,P1,N1
1883,L5,P7,N2
1884,L2,P7,N3
1885,L1,P1,N1
1886,L6,P6,N1
1887,L2,P4,N3
1888,L1,P7,N2
1889,L4,P4,N1
1890,L1,P2,N3
1891,L3,P3,N1
1892,L1,P1,N3
1893,L3,P1,N1
1894,L3,P2,N1
1895,L2,P6,N3
1896,L1,P2,N2
1897,L4,P4,N1
1898,L1,P1,N3
1899,L6,P7,N3
1900,L1,P7,N3
1901,L4,P4,N1
1902,L1,P3,N1
1903,L6,P1,N2
1904,L1,P1,N3
1905,L1,P1,N1
1906,L2,P2,N1
1907,L4,P4,N1
1908,L1,P1,N1
1909,L3,P6,N2
1910,L3,P7,N1
1911,L4,P4,N2
1912,L1,P3,N2
1913,L6,P6,N1
1914,L5,P1,N3
1915,L1,P3,N1
1916,L3,P5,N1
1917,L3,P5,N1
1918,L1,P1,N2
1919,L1,P2,N1
1920,L1,P3,N3
1921,L2,P3,N1
1922,L4,P4,N1
1923,L4,P4,N3
1924,L3,P7,N3
1925,L5,P1,N2
1926,L2,P2,N1
1927,L2,P2,N1
1928,L1,P4,N1
1929,L2,P6,N2
1930,L1,P3,N2
1931,L2,P3,N1
1932,L1,P2,N2
1933,L1,P7,N2
1934,L5,P1,N1
1935,L4,P4,N1
1936,L2,P2,N3
1937,L5,P2,N1
1938,L6,P2,N1
1939,L1,P2,N1
1940,L1,P2,N2
1941,L3,P5,N2
1942,L6,P4,N2
1943,L1,P1,N1
1944,L2,P3,N2
1945,L1,P7,N1
1946,L1,P7,N3
1947,L1,P3,N3
1948,L1,P2,N2
1949,L5,P1,N1
1950,L4,P4,N2
1951,L2,P6,N1
1952,L3,P1,N1
1953,L1,P7,N3
1954,L2,P1,N1
1955,L1,P5,N3
1956,L1,P2,N2
1957,L2,P7,N2
1958,L1,P2,N2
1959,L4,P4,N1
1960,L1,P7,N2
1961,L1,P2,N1
1962,L5,P3,N3
1963,L1,P3,N1
1964,L5,P2,N1
1965,L4,P4,N2
1966,L2,P3,N1
1967,L5,P3,N2
1968,L2,P5,N1
1969,L6,P1,N1
1970,L4,P4,N1
1971,L4,P4,N1
1972,L6,P7,N1
1973,L5,P3,N1
1974,L2,P2,N1
1975,L2,P1,N3
1976,L6,P2,N2
1977,L5,P7,N1
1978,L4,P4,N1
1979,L1,P3,N1
1980,L2,P2,N1
1981,L6,P1,N1
1982,L6,P4,N1
1983,L1,P1,N3
1984,L6,P4,N2
1985,L3,P5,N3
1986,L2,P1,N1
1987,L1,P1,N1
1988,L3,P7,N1
1989,L5,P6,N2
1990,L2,P5,N1
1991,L4,P4,N1
1992,L2,P3,N1
1993,L5,P2,N2
1994,L1,P7,N1
1995,L2,P5,N3
1996,L1,P6,N1
1997,L1,P2,N1
1998,L1,P2,N1
1999,L3,P1,N2
2000,L1,P6,N1
2001,L4,P4,N1
2002,L1,P3,N1
2003,L3,P4,N1
2004,L1,P1,N1
2005,L2,P1,N2
2006,L4,P4,N2
2007,L4,P4,N2
2008,L5,P5,N3
2009,L2,P2,N3
2010,L6,P2,N3
2011,L1,P2,N1
2012,L1,P1,N1
2013,L2,P3,N2
2014,L3,P2,N3
2015,L4,P4,N1
2016,L4,P4,N2
2017,L3,P6,N1
2018,L1,P7,N3
2019,L1,P6,N2
2020,L1,P5,N1
2021,L6,P3,N1
2022,L6,P6,N1
2023,L1,P6,N3
2024,L6,P7,N3
2025,L1,P6,N2
2026,L1,P6,N3
2027,L2,P2,N1
2028,L1,P1,N1
2029,L4,P4,N2
2030,L4,P4,N2
2031,L1,P7,N2
2032,L1,P3,N1
2033,L3,P2,N3
2034,L2,P3,N1
2035,L2,P3,N1
2036,L3,P1,N1
2037,L1,P2,N2
2038,L2,P3,N3
2039,L5,P1,N1
2040,L1,P2,N3
2041,L1,P3,N1
2042,L1,P5,N1
2043,L1,P5,N1
2044,L1,P3,N1
2045,L1,P2,N3
2046,L4,P4,N1
2047,L1,P5,N1
2048,L1,P5,N1
2049,L4,P4,N2
2050,L1,P3,N3
2051,L4,P4,N3
2052,L2,P7,N1
2053,L1,P1,N1
2054,L1,P7,N1
2055,L1,P3,N3
2056,L1,P1,N1
2057,L3,P1,N3
2058,L2,P1,N3
2059,L1,P7,N2
2060,L1,P2,N2
2061,L2,P7,N1
2062,L2,P7,N1
2063,L5,P3,N1
2064,L2,P6,N1
2065,L1,P6,N2
2066,L1,P3,N1
2067,L6,P7,N3
2068,L2,P7,N3
2069,L4,P4,N1
2070,L2,P1,N1
2071,L1,P5,N1
2072,L1,P3,N1
2073,L1,P2,N2
2074,L1,P7,N2
2075,L1,P6,N2
2076,L2,P1,N1
2077,L6,P5,N3
2078,L1,P2,N2
2079,L1,P2,N3
2080,L4,P4,N3
2081,L3,P3,N2
2082,L1,P3,N1
2083,L2,P3,N3
2084,L1,P1,N1
2085,L6,P3,N1
2086,L3,P4,N3
2087,L1,P5,N1
2088,L1,P1,N3
2089,L5,P1,N1
2090,L1,P2,N3
2091,L1,P2,N2
2092,L6,P2,N3
2093,L1,P3,N3
2094,L4,P4,N1
2095,L1,P3,N2
2096,L2,P6,N2
2097,L3,P2,N1
2098,L2,P2,N3
2099,L1,P6,N3
2100,L5,P3,N1
2101,L2,P1,N3
2102,L2,P5,N1
2103,L4,P4,N3
2104,L5,P6,N2
2105,L6,P1,N1
2106,L2,P3,N3
2107,L2,P2,N2
2108,L2,P1,N1
2109,L2,P7,N2
2110,L2,P3,N2
2111,L2,P4,N1
2112,L1,P7,N2
2113,L1,P1,N1
2114,L3,P2,N1
2115,L2,P2,N2
2116,L1,P3,N1
2117,L1,P1,N1
2118,L1,P7,N3
2119,L1,P2,N3
2120,L6,P2,N2
2121,L2,P3,N2
2122,L3,P2,N3
2123,L1,P2,N3
2124,L1,P3,N1
2125,L1,P1,N1
2126,L1,P3,N1
2127,L5,P2,N1
2128,L4,P4,N1
2129,L1,P6,N2
2130,L1,P1,N2
2131,L2,P7,N3
2132,L3,P1,N1
2133,L1,P2,N1
2134,L4,P4,N1
2135,L3,P2,N1
2136,L5,P3,N1
2137,L2,P1,N3
2138,L1,P1,N1
2139,L6,P1,N2
2140,L1,P2,N1
2141,L1,P7,N2
2142,L4,P4,N3
2143,L1,P7,N3
2144,L2,P3,N1
2145,L6,P6,N3
2146,L4,P4,N1
2147,L1,P3,N3
2148,L2,P2,N1
2149,L1,P3,N2
2150,L1,P2,N2
2151,L6,P3,N3
2152,L2,P5,N3
2153,L2,P3,N1
2154,L1,P3,N3
2155,L5,P3,N1
2156,L2,P6,N1
2157,L1,P2,N3
2158,L1,P1,N1
2159,L1,P7,N1
2160,L2,P3,N2
2161,L1,P5,N1
2162,L3,P1,N2
2163,L3,P4,N1
2164,L1,P2,N2
2165,L2,P5,N1
2166,L1,P1,N1
2167,L3,P3,N2
2168,L1,P6,N3
2169,L5,P5,N3
2170,L3,P3,N1
2171,L1,P5,N3
2172,L3,P1,N2
2173,L3,P5,N3
2174,L3,P1,N1
2175,L4,P4,N3
2176,L6,P3,N1
2177,L1,P1,N3
2178,L1,P5,N1
2179,L2,P2,N1
2180,L1,P3,N2
2181,L3,P1,N3
2182,L3,P2,N2
2183,L5,P2,N2
2184,L3,P6,N1
2185,L1,P1,N3
2186,L4,P4,N1
2187,L2,P2,N1
2188,L5,P2,N1
2189,L2,P1,N1
2190,L2,P3,N2
2191,L4,P4,N2
2192,L4,P4,N1
2193,L4,P4,N1
2194,L1,P1,N1
2195,L1,P1,N1
2196,L1,P6,N3
2197,L2,P3,N2
2198,L5,P2,N1
2199,L1,P5,N1
2200,L1,P1,N3
2201,L6,P2,N3
2202,L4,P4,N3
2203,L2,P3,N1
2204,L4,P4,N2
2205,L2,P6,N1
2206,L2,P1,N2
2207,L2,P1,N1
2208,L2,P3,N2
2209,L2,P7,N1
2210,L4,P4,N2
2211,L1,P1,N1
2212,L1,P3,N3
2213,L1,P3,N1
2214,L1,P2,N2
2215,L5,P6,N1
2216,L1,P3,N2
2217,L6,P4,N2
2218,L1,P2,N1
2219,L5,P7,N1
2220,L2,P2,N3
2221,L1,P5,N1
2222,L6,P2,N2
2223,L3,P2,N1
2224,L1,P2,N1
2225,L2,P1,N1
2226,L1,P1,N1
2227,L6,P1,N1
2228,L2,P1,N2
2229,L1,P1,N1
2230,L2,P1,N3
2231,L1,P5,N2
2232,L2,P1,N1
2233,L1,P3,N3
2234,L1,P2,N2
2235,L1,P3,N2
2236,L2,P2,N1
2237,L6,P5,N2
2238,L1,P1,N1
2239,L1,P5,N2
2240,L1,P3,N3
2241,L2,P2,N1
2242,L4,P4,N2
2243,L1,P3,N1
2244,L4,P4,N1
2245,L4,P4,N3
2246,L1,P2,N1
2247,L2,P5,N1
2248,L1,P3,N1
2249,L6,P1,N3
2250,L6,P4,N2
2251,L1,P2,N2
2252,L4,P4,N3
2253,L2,P2,N2
2254,L2,P3,N3
2255,L6,P1,N2
2256,L2,P2,N3
2257,L4,P4,N2
2258,L4,P4,N1
2259,L2,P2,N1
2260,L1,P3,N1
2261,L1,P7,N2
2262,L6,P3,N3
2263,L6,P2,N2
2264,L5,P1,N2
2265,L4,P4,N3
2266,L3,P3,N1
2267,L2,P1,N2
2268,L1,P1,N1
2269,L1,P5,N1
2270,L1,P1,N1
2271,L1,P3,N1
2272,L5,P4,N1
2273,L1,P5,N1
2274,L1,P5,N1
2275,L5,P2,N1
2276,L4,P4,N3
2277,L1,P1,N1
2278,L6,P5,N3
2279,L1,P1,N1
2280,L1,P2,N3
2281,L1,P1,N2
2282,L6,P2,N3
2283,L1,P3,N2
2284,L3,P1,N2
2285,L3,P1,N1
2286,L1,P2,N1
2287,L2,P3,N2
2288,L6,P5,N1
2289,L4,P4,N3
2290,L2,P1,N3
2291,L1,P3,N1
2292,L1,P3,N2
2293,L1,P1,N1
2294,L2,P3,N1
2295,L1,P2,N1
2296,L1,P2,N1
2297,L1,P2,N3
2298,L4,P4,N3
2299,L1,P3,N1
2300,L2,P7,N1
2301,L1,P3,N3
2302,L1,P2,N1
2303,L1,P2,N1
2304,L6,P3,N1
2305,L1,P1,N2
2306,L2,P2,N1
2307,L1,P2,N3
2308,L4,P4,N3
2309,L4,P4,N3
2310,L6,P1,N2
2311,L6,P5,N2
2312,L4,P4,N3
2313,L1,P7,N2
2314,L1,P6,N2
2315,L1,P3,N1
2316,L5,P1,N1
2317,L2,P3,N3
2318,L1,P6,N2
2319,L1,P5,N1
2320,L4,P4,N2
2321,L2,P7,N3
2322,L1,P2,N1
2323,L2,P2,N2
2324,L2,P3,N1
2325,L2,P3,N2
2326,L1,P2,N3
2327,L1,P1,N3
2328,L2,P2,N3
2329,L5,P2,N2
2330,L2,P2,N1
2331,L2,P5,N2
2332,L1,P2,N1
2333,L5,P2,N2
2334,L1,P6,N2
2335,L6,P7,N2
2336,L1,P3,N1
2337,L4,P4,N1
2338,L2,P2,N1
2339,L4,P4,N1
2340,L1,P1,N1
2341,L1,P2,N1
2342,L4,P4,N3
2343,L2,P4,N1
2344,L2,P6,N3
2345,L1,P3,N1
2346,L3,P7,N3
2347,L2,P5,N3
2348,L2,P3,N3
2349,L1,P6,N3
2350,L3,P6,N2
2351,L1,P2,N1
2352,L1,P1,N2
2353,L1,P1,N1
2354,L1,P3,N3
2355,L2,P2,N3
2356,L1,P2,N1
2357,L2,P7,N2
2358,L4,P4,N1
2359,L2,P1,N2
2360,L3,P1,N2
2361,L1,P2,N2
2362,L6,P3,N3
2363,L1,P6,N1
2364,L1,P6,N2
2365,L3,P5,N2
2366,L2,P2,N1
2367,L1,P7,N1
2368,L1,P6,N1
2369,L1,P2,N2
2370,L4,P4,N3
2371,L3,P2,N1
2372,L3,P1,N1
2373,L3,P2,N3
2374,L2,P7,N1
2375,L1,P3,N1
2376,L4,P4,N2
2377,L6,P3,N1
2378,L1,P2,N3
2379,L2,P6,N1
2380,L1,P2,N2
2381,L3,P1,N1
2382,L3,P6,N1
2383,L1,P2,N1
2384,L1,P6,N2
2385,L1,P7,N3
2386,L3,P1,N1
2387,L1,P3,N2
2388,L5,P3,N2
2389,L3,P3,N1
2390,L1,P5,N3
2391,L3,P7,N1
2392,L1,P3,N3
2393,L1,P5,N2
2394,L3,P3,N1
2395,L1,P3,N2
2396,L1,P1,N1
2397,L5,P6,N2
2398,L1,P3,N3
2399,L1,P2,N2
2400,L2,P3,N1
2401,L3,P3,N1
2402,L1,P1,N2
2403,L1,P2,N2
2404,L3,P2,N2
2405,L2,P1,N3
2406,L1,P2,N2
2407,L1,P3,N2
2408,L5,P5,N2
2409,L4,P4,N1
2410,L1,P6,N1
