prediction_key,lead_id,stage,score_time,current_inquiry_id,current_spot_id,inquiry_number
L797:T2:I3619,797,T2,2025-05-18T14:56:10.000Z,3619,1733,5
L797:T2:I3618,797,T2,2025-05-20T11:35:37.000Z,3618,1733,6
L797:T2:I3620,797,T2,2025-12-19T18:44:00.000Z,3620,978,7
L797:T2:I3621,797,T2,2026-02-10T18:48:00.000Z,3621,957,8
L798:T0,798,T0,2025-12-08T00:00:00.000Z,,,0
L798:T1:I3628,798,T1,2025-12-10T13:49:00.000Z,3628,2427,1
L798:T2:I3627,798,T2,2025-12-14T07:10:15.000Z,3627,2509,2
L798:T2:I3626,798,T2,2026-04-04T09:42:00.000Z,3626,2803,3
L798:T2:I3629,798,T2,2026-06-24T12:42:00.000Z,3629,601,4
L799:T0,799,T0,2025-03-21T00:00:00.000Z,,,0
L799:T1:I3630,799,T1,2025-12-22T14:37:00.000Z,3630,1189,1
L800:T0,800,T0,2025-08-25T00:00:00.000Z,,,0
L800:T1:I3631,800,T1,2025-08-30T20:24:55.000Z,3631,227,1
L800:T2:I3632,800,T2,2025-09-01T13:29:37.000Z,3632,339,2
L800:T2:I3633,800,T2,2025-09-05T13:23:24.000Z,3633,2485,3
L800:T2:I3634,800,T2,2026-01-19T08:17:00.000Z,3634,305,4
L801:T0,801,T0,2026-02-19T00:00:00.000Z,,,0
L801:T1:I3637,801,T1,2026-02-19T11:13:39.000Z,3637,366,1
L801:T2:I3641,801,T2,2026-02-20T13:14:57.000Z,3641,1614,2
L801:T2:I3639,801,T2,2026-02-20T17:47:38.000Z,3639,1881,3
L801:T2:I3636,801,T2,2026-02-21T12:39:16.000Z,3636,2360,4
L801:T2:I3640,801,T2,2026-02-25T19:43:30.000Z,3640,49,5
L801:T2:I3635,801,T2,2026-03-01T10:27:36.000Z,3635,2223,6
L801:T2:I3638,801,T2,2026-03-04T17:48:45.000Z,3638,2375,7
L802:T0,802,T0,2025-03-14T00:00:00.000Z,,,0
L802:T1:I3643,802,T1,2025-03-27T11:43:58.000Z,3643,1795,1
L802:T2:I3647,802,T2,2025-04-02T15:11:00.000Z,3647,1540,2
L802:T2:I3645,802,T2,2025-04-13T14:59:00.000Z,3645,564,3
L802:T2:I3642,802,T2,2025-05-11T16:07:00.000Z,3642,1751,4
L802:T2:I3646,802,T2,2025-06-30T09:58:00.000Z,3646,1950,5
L802:T2:I3644,802,T2,2026-03-28T12:16:00.000Z,3644,1114,6
L802:T2:I3648,802,T2,2026-05-08T13:16:00.000Z,3648,2560,7
L803:T0,803,T0,2025-05-05T00:00:00.000Z,,,0
L803:T1:I3651,803,T1,2025-05-06T09:10:25.000Z,3651,2300,1
L803:T2:I3650,803,T2,2025-05-12T15:57:16.000Z,3650,1867,2
L803:T2:I3649,803,T2,2025-05-18T16:44:33.000Z,3649,1394,3
L803:T2:I3652,803,T2,2025-08-05T14:55:00.000Z,3652,1528,4
L804:T0,804,T0,2025-06-01T00:00:00.000Z,,,0
L804:T1:I3655,804,T1,2025-06-03T16:46:25.000Z,3655,543,1
L804:T2:I3654,804,T2,2025-06-04T11:40:54.000Z,3654,2180,2
L804:T2:I3653,804,T2,2026-06-20T11:40:00.000Z,3653,1909,3
L805:T0,805,T0,2026-03-02T00:00:00.000Z,,,0
L805:T1:I3657,805,T1,2026-03-04T07:18:46.000Z,3657,950,1
L805:T2:I3656,805,T2,2026-03-09T12:30:06.000Z,3656,2100,2
L805:T2:I3658,805,T2,2026-03-10T15:21:01.000Z,3658,322,3
L805:T2:I3659,805,T2,2026-03-23T17:25:00.000Z,3659,1770,4
L806:T0,806,T0,2025-01-21T00:00:00.000Z,,,0
L806:T1:I3663,806,T1,2025-01-27T12:53:37.000Z,3663,129,1
L806:T2:I3664,806,T2,2025-06-03T18:14:00.000Z,3664,906,2
L806:T2:I3660,806,T2,2025-11-07T08:20:00.000Z,3660,320,3
L806:T2:I3661,806,T2,2025-12-05T16:45:00.000Z,3661,441,4
L806:T2:I3662,806,T2,2026-06-09T09:49:00.000Z,3662,492,5
L807:T0,807,T0,2026-05-11T00:00:00.000Z,,,0
L807:T1:I3669,807,T1,2026-05-12T11:20:45.000Z,3669,2766,1
L807:T2:I3665,807,T2,2026-05-12T20:43:09.000Z,3665,1524,2
L807:T2:I3670,807,T2,2026-05-13T10:28:11.000Z,3670,218,3
L807:T2:I3668,807,T2,2026-05-14T09:50:06.000Z,3668,1946,4
L807:T2:I3667,807,T2,2026-05-22T09:04:54.000Z,3667,2747,5
L807:T2:I3666,807,T2,2026-05-23T15:42:36.000Z,3666,2981,6
L808:T0,808,T0,2025-10-16T00:00:00.000Z,,,0
L808:T1:I3673,808,T1,2025-10-19T15:51:26.000Z,3673,1138,1
L808:T2:I3672,808,T2,2025-10-22T15:02:05.000Z,3672,2959,2
L808:T2:I3674,808,T2,2025-10-23T17:57:28.000Z,3674,2544,3
L808:T2:I3675,808,T2,2025-10-24T17:01:23.000Z,3675,513,4
L808:T2:I3671,808,T2,2025-10-25T12:12:37.000Z,3671,1365,5
L808:T2:I3677,808,T2,2025-10-28T15:08:44.000Z,3677,693,6
L808:T2:I3676,808,T2,2026-06-16T18:10:00.000Z,3676,1441,7
L809:T0,809,T0,2025-01-27T00:00:00.000Z,,,0
L809:T1:I3678,809,T1,2025-01-28T08:16:41.000Z,3678,2341,1
L809:T2:I3680,809,T2,2025-04-16T17:01:00.000Z,3680,1496,2
L809:T2:I3679,809,T2,2025-06-18T19:51:00.000Z,3679,1968,3
L809:T2:I3681,809,T2,2025-12-30T12:29:00.000Z,3681,2559,4
L810:T0,810,T0,2026-05-29T00:00:00.000Z,,,0
L810:T1:I3684,810,T1,2026-06-05T18:34:36.000Z,3684,2760,1
L810:T2:I3682,810,T2,2026-06-07T17:16:53.000Z,3682,642,2
L810:T2:I3683,810,T2,2026-06-11T14:44:12.000Z,3683,2322,3
L811:T0,811,T0,2025-06-02T00:00:00.000Z,,,0
L811:T1:I3687,811,T1,2025-06-04T09:55:20.000Z,3687,2193,1
L811:T2:I3688,811,T2,2025-06-04T12:21:56.000Z,3688,2339,2
L811:T2:I3686,811,T2,2025-06-11T10:29:51.000Z,3686,42,3
L811:T2:I3685,811,T2,2025-06-11T18:56:09.000Z,3685,1919,4
L812:T0,812,T0,2025-01-01T00:00:00.000Z,,,0
L812:T1:I3691,812,T1,2025-04-13T12:20:00.000Z,3691,1979,1
L812:T2:I3690,812,T2,2025-12-11T08:55:00.000Z,3690,695,2
L812:T2:I3689,812,T2,2026-03-06T20:33:00.000Z,3689,1522,3
L813:T0,813,T0,2026-02-02T00:00:00.000Z,,,0
L813:T1:I3694,813,T1,2026-02-06T11:27:03.000Z,3694,912,1
L813:T2:I3696,813,T2,2026-02-07T13:18:52.000Z,3696,2172,2
L813:T2:I3692,813,T2,2026-02-09T13:25:15.000Z,3692,1585,3
L813:T2:I3697,813,T2,2026-02-11T07:07:53.000Z,3697,2526,4
L813:T2:I3695,813,T2,2026-03-01T13:57:00.000Z,3695,211,5
L813:T2:I3693,813,T2,2026-05-07T07:47:00.000Z,3693,1587,6
L814:T0,814,T0,2025-11-14T00:00:00.000Z,,,0
L814:T1:I3698,814,T1,2025-11-15T13:09:25.000Z,3698,2790,1
L814:T2:I3699,814,T2,2025-11-17T20:49:15.000Z,3699,2069,2
L814:T2:I3703,814,T2,2025-11-19T11:18:18.000Z,3703,547,3
L814:T2:I3701,814,T2,2025-11-21T08:53:48.000Z,3701,327,4
L814:T2:I3702,814,T2,2025-12-26T10:14:00.000Z,3702,220,5
L814:T2:I3704,814,T2,2026-06-04T09:57:00.000Z,3704,917,6
L814:T2:I3700,814,T2,2026-06-20T14:14:00.000Z,3700,1909,7
L815:T0,815,T0,2025-11-05T00:00:00.000Z,,,0
L815:T1:I3705,815,T1,2025-11-06T20:37:39.000Z,3705,1776,1
L815:T2:I3708,815,T2,2025-11-13T18:42:27.000Z,3708,694,2
L815:T2:I3707,815,T2,2025-11-17T14:07:47.000Z,3707,1713,3
L815:T2:I3706,815,T2,2026-03-23T10:02:00.000Z,3706,728,4
L816:T0,816,T0,2025-06-13T00:00:00.000Z,,,0
L816:T1:I3713,816,T1,2025-06-13T14:18:06.000Z,3713,395,1
L816:T2:I3709,816,T2,2025-06-15T09:03:51.000Z,3709,42,2
L816:T2:I3712,816,T2,2025-06-17T19:28:28.000Z,3712,181,3
L816:T2:I3711,816,T2,2026-04-20T17:34:00.000Z,3711,162,4
L816:T2:I3710,816,T2,2026-05-27T10:15:00.000Z,3710,46,5
L817:T0,817,T0,2025-10-09T00:00:00.000Z,,,0
L817:T1:I3714,817,T1,2025-10-13T18:00:42.000Z,3714,34,1
L817:T2:I3716,817,T2,2025-10-19T09:52:06.000Z,3716,2594,2
L817:T2:I3715,817,T2,2026-04-04T14:54:00.000Z,3715,68,3
L818:T0,818,T0,2025-11-25T00:00:00.000Z,,,0
L818:T1:I3718,818,T1,2025-11-27T10:19:55.000Z,3718,2370,1
L818:T2:I3717,818,T2,2025-11-28T16:39:36.000Z,3717,655,2
L818:T2:I3720,818,T2,2025-12-06T10:49:31.000Z,3720,939,3
L818:T2:I3719,818,T2,2026-05-07T08:28:00.000Z,3719,1587,4
L819:T0,819,T0,2025-09-12T00:00:00.000Z,,,0
L819:T1:I3726,819,T1,2025-09-15T12:51:13.000Z,3726,1719,1
L819:T2:I3721,819,T2,2025-09-17T07:56:22.000Z,3721,579,2
L819:T2:I3725,819,T2,2025-09-18T17:27:34.000Z,3725,2247,3
L819:T2:I3722,819,T2,2025-09-20T19:37:19.000Z,3722,1106,4
L819:T2:I3723,819,T2,2025-09-22T12:25:24.000Z,3723,1689,5
L819:T2:I3728,819,T2,2025-09-23T15:12:55.000Z,3728,2832,6
L819:T2:I3724,819,T2,2025-09-25T14:46:31.000Z,3724,2060,7
L819:T2:I3727,819,T2,2025-10-30T07:51:00.000Z,3727,1439,8
L820:T0,820,T0,2025-06-25T00:00:00.000Z,,,0
L820:T1:I3732,820,T1,2025-07-06T20:53:04.000Z,3732,521,1
L820:T2:I3729,820,T2,2025-07-08T10:12:14.000Z,3729,1060,2
L820:T2:I3731,820,T2,2025-07-08T19:42:36.000Z,3731,2748,3
L820:T2:I3730,820,T2,2026-05-13T10:08:00.000Z,3730,794,4
L821:T0,821,T0,2026-06-08T00:00:00.000Z,,,0
L821:T1:I3735,821,T1,2026-06-08T14:51:00.000Z,3735,588,1
L821:T2:I3734,821,T2,2026-06-11T17:07:07.000Z,3734,1881,2
L821:T2:I3733,821,T2,2026-06-17T11:14:35.000Z,3733,476,3
L822:T0,822,T0,2025-09-16T00:00:00.000Z,,,0
L822:T1:I3737,822,T1,2025-09-21T11:47:00.000Z,3737,1303,1
L822:T2:I3736,822,T2,2025-09-21T12:58:08.000Z,3736,1330,2
L823:T0,823,T0,2026-03-02T00:00:00.000Z,,,0
L823:T1:I3742,823,T1,2026-03-04T13:09:46.000Z,3742,533,1
L823:T2:I3741,823,T2,2026-03-10T15:42:56.000Z,3741,1951,2
L823:T2:I3738,823,T2,2026-03-11T10:24:01.000Z,3738,1650,3
L823:T2:I3740,823,T2,2026-03-11T16:21:21.000Z,3740,1814,4
L823:T2:I3739,823,T2,2026-04-28T08:07:00.000Z,3739,1233,5
L824:T0,824,T0,2025-07-08T00:00:00.000Z,,,0
L824:T1:I3743,824,T1,2026-06-03T12:22:00.000Z,3743,2633,1
L825:T0,825,T0,2025-10-29T00:00:00.000Z,,,0
L825:T1:I3744,825,T1,2025-10-31T19:53:39.000Z,3744,2566,1
L825:T2:I3745,825,T2,2025-11-07T12:28:24.000Z,3745,1148,2
L825:T2:I3747,825,T2,2026-01-12T14:36:00.000Z,3747,665,3
L825:T2:I3746,825,T2,2026-02-14T07:49:00.000Z,3746,1001,4
L826:T0,826,T0,2025-09-24T00:00:00.000Z,,,0
L826:T1:I3748,826,T1,2025-10-03T14:20:17.000Z,3748,969,1
L827:T0,827,T0,2025-06-28T00:00:00.000Z,,,0
L827:T1:I3750,827,T1,2025-06-28T09:09:09.000Z,3750,174,1
L827:T2:I3751,827,T2,2025-07-02T18:24:03.000Z,3751,1607,2
L827:T2:I3752,827,T2,2025-11-18T07:03:00.000Z,3752,1812,3
L827:T2:I3749,827,T2,2026-01-20T17:13:00.000Z,3749,2904,4
L828:T0,828,T0,2026-06-07T00:00:00.000Z,,,0
L828:T1:I3754,828,T1,2026-06-07T16:00:21.000Z,3754,1356,1
L828:T2:I3753,828,T2,2026-06-16T10:31:13.000Z,3753,2538,2
L829:T0,829,T0,2025-01-13T00:00:00.000Z,,,0
L829:T1:I3757,829,T1,2025-01-18T10:04:50.000Z,3757,1455,1
L829:T2:I3756,829,T2,2025-01-26T14:21:04.000Z,3756,1393,2
L829:T2:I3755,829,T2,2026-04-26T13:23:00.000Z,3755,1836,3
L830:T0,830,T0,2025-08-31T00:00:00.000Z,,,0
L830:T1:I3762,830,T1,2025-09-11T10:21:41.000Z,3762,2132,1
L830:T2:I3761,830,T2,2025-10-07T18:31:00.000Z,3761,445,2
L830:T2:I3759,830,T2,2026-01-14T07:44:00.000Z,3759,1466,3
L830:T2:I3763,830,T2,2026-03-11T17:47:00.000Z,3763,812,4
L830:T2:I3758,830,T2,2026-03-16T10:32:00.000Z,3758,1636,5
L830:T2:I3760,830,T2,2026-06-11T07:25:00.000Z,3760,2844,6
L831:T0,831,T0,2026-01-06T00:00:00.000Z,,,0
L831:T1:I3764,831,T1,2026-01-08T17:18:03.000Z,3764,1960,1
L831:T2:I3765,831,T2,2026-01-17T18:45:51.000Z,3765,2754,2
L832:T0,832,T0,2025-04-19T00:00:00.000Z,,,0
L832:T1:I3767,832,T1,2025-06-02T17:20:00.000Z,3767,92,1
L832:T2:I3768,832,T2,2025-09-12T14:28:00.000Z,3768,1651,2
L832:T2:I3766,832,T2,2026-05-01T08:34:00.000Z,3766,2941,3
L833:T0,833,T0,2025-03-26T00:00:00.000Z,,,0
L833:T1:I3774,833,T1,2025-03-26T10:37:32.000Z,3774,1548,1
L833:T2:I3769,833,T2,2025-03-29T14:09:30.000Z,3769,1926,2
L833:T2:I3772,833,T2,2025-06-05T17:42:00.000Z,3772,255,3
L833:T2:I3773,833,T2,2025-07-30T12:32:00.000Z,3773,2499,4
L833:T2:I3771,833,T2,2026-02-02T16:54:00.000Z,3771,2987,5
L833:T2:I3770,833,T2,2026-02-06T14:22:00.000Z,3770,632,6
L834:T0,834,T0,2025-08-06T00:00:00.000Z,,,0
L834:T1:I3779,834,T1,2025-08-11T09:43:10.000Z,3779,1847,1
L834:T2:I3775,834,T2,2025-08-11T10:11:52.000Z,3775,2885,2
L834:T2:I3776,834,T2,2025-08-13T13:43:49.000Z,3776,568,3
L834:T2:I3780,834,T2,2025-08-14T12:33:34.000Z,3780,1393,4
L834:T2:I3781,834,T2,2025-08-14T12:52:11.000Z,3781,160,5
L834:T2:I3778,834,T2,2025-08-17T12:44:23.000Z,3778,678,6
L834:T2:I3777,834,T2,2025-08-18T19:42:24.000Z,3777,2168,7
L834:T2:I3782,834,T2,2025-08-19T13:37:26.000Z,3782,1435,8
L835:T0,835,T0,2025-03-27T00:00:00.000Z,,,0
L835:T1:I3786,835,T1,2025-04-04T10:20:22.000Z,3786,1460,1
L835:T2:I3787,835,T2,2025-08-02T08:53:00.000Z,3787,704,2
L835:T2:I3788,835,T2,2025-08-14T11:10:00.000Z,3788,226,3
L835:T2:I3784,835,T2,2026-03-26T11:49:00.000Z,3784,2586,4
L835:T2:I3783,835,T2,2026-04-23T10:03:00.000Z,3783,2387,5
L835:T2:I3785,835,T2,2026-06-04T14:07:00.000Z,3785,1729,6
L836:T0,836,T0,2025-04-08T00:00:00.000Z,,,0
L836:T1:I3790,836,T1,2025-04-08T10:03:30.000Z,3790,2242,1
L836:T2:I3789,836,T2,2025-04-21T10:19:03.000Z,3789,2577,2
L836:T2:I3792,836,T2,2025-04-23T13:19:00.000Z,3792,1537,3
L836:T2:I3791,836,T2,2026-04-27T18:43:00.000Z,3791,2195,4
L836:T2:I3793,836,T2,2026-05-10T18:53:00.000Z,3793,2886,5
L837:T0,837,T0,2025-02-27T00:00:00.000Z,,,0
L837:T1:I3794,837,T1,2025-03-01T10:58:36.000Z,3794,2454,1
L837:T2:I3798,837,T2,2025-03-05T19:26:45.000Z,3798,380,2
L837:T2:I3801,837,T2,2025-03-12T09:17:27.000Z,3801,2974,3
L837:T2:I3795,837,T2,2025-04-09T11:46:00.000Z,3795,1692,4
L837:T2:I3796,837,T2,2025-04-26T09:17:00.000Z,3796,2491,5
L837:T2:I3800,837,T2,2025-10-25T18:02:00.000Z,3800,651,6
L837:T2:I3799,837,T2,2025-12-21T16:13:00.000Z,3799,2217,7
L837:T2:I3797,837,T2,2026-03-07T08:49:00.000Z,3797,1893,8
L838:T0,838,T0,2026-06-18T00:00:00.000Z,,,0
L838:T1:I3805,838,T1,2026-06-19T17:50:33.000Z,3805,2467,1
L838:T2:I3802,838,T2,2026-06-28T13:53:56.000Z,3802,2041,2
L838:T2:I3803,838,T2,2026-06-29T11:22:48.000Z,3803,616,3
L838:T2:I3804,838,T2,2026-06-29T19:44:47.000Z,3804,447,4
L838:T2:I3806,838,T2,2026-07-01T19:30:01.000Z,3806,2406,5
L839:T0,839,T0,2026-04-27T00:00:00.000Z,,,0
L839:T1:I3810,839,T1,2026-04-27T20:29:42.000Z,3810,1962,1
L839:T2:I3808,839,T2,2026-04-29T12:56:38.000Z,3808,1147,2
L839:T2:I3809,839,T2,2026-05-04T11:20:47.000Z,3809,2224,3
L839:T2:I3811,839,T2,2026-05-04T17:00:40.000Z,3811,2645,4
L839:T2:I3807,839,T2,2026-05-08T20:43:05.000Z,3807,380,5
L840:T0,840,T0,2025-12-06T00:00:00.000Z,,,0
L840:T1:I3812,840,T1,2025-12-07T16:29:01.000Z,3812,2619,1
L840:T2:I3814,840,T2,2025-12-16T14:50:14.000Z,3814,985,2
L840:T2:I3813,840,T2,2026-05-02T17:31:00.000Z,3813,2641,3
L841:T0,841,T0,2025-11-12T00:00:00.000Z,,,0
L841:T1:I3815,841,T1,2025-11-18T14:05:05.000Z,3815,1510,1
L841:T2:I3819,841,T2,2025-11-22T08:06:46.000Z,3819,322,2
L841:T2:I3816,841,T2,2025-11-24T10:06:55.000Z,3816,2656,3
L841:T2:I3817,841,T2,2026-06-12T07:31:00.000Z,3817,1771,4
L841:T2:I3818,841,T2,2026-06-20T09:26:00.000Z,3818,660,5
L842:T0,842,T0,2025-07-17T00:00:00.000Z,,,0
L842:T1:I3821,842,T1,2025-07-26T08:21:19.000Z,3821,1642,1
L842:T2:I3820,842,T2,2025-12-05T13:43:00.000Z,3820,2524,2
L843:T0,843,T0,2026-03-16T00:00:00.000Z,,,0
L843:T1:I3823,843,T1,2026-03-21T09:33:36.000Z,3823,1585,1
L843:T2:I3824,843,T2,2026-03-22T10:20:37.000Z,3824,1019,2
L843:T2:I3825,843,T2,2026-03-24T18:24:02.000Z,3825,1714,3
L843:T2:I3822,843,T2,2026-03-28T11:34:36.000Z,3822,2245,4
L844:T0,844,T0,2025-06-24T00:00:00.000Z,,,0
L844:T1:I3827,844,T1,2025-06-28T13:10:01.000Z,3827,1611,1
L844:T2:I3829,844,T2,2025-06-28T14:17:23.000Z,3829,687,2
L844:T2:I3830,844,T2,2025-10-30T12:45:00.000Z,3830,931,3
L844:T2:I3826,844,T2,2026-03-16T18:18:00.000Z,3826,938,4
L844:T2:I3831,844,T2,2026-04-07T12:11:00.000Z,3831,571,5
L844:T2:I3828,844,T2,2026-05-24T18:10:00.000Z,3828,522,6
L845:T0,845,T0,2025-01-09T00:00:00.000Z,,,0
L845:T1:I3832,845,T1,2025-01-18T18:04:51.000Z,3832,1992,1
L846:T0,846,T0,2025-04-18T00:00:00.000Z,,,0
L846:T1:I3837,846,T1,2025-04-18T10:29:01.000Z,3837,1855,1
L846:T2:I3836,846,T2,2025-04-20T14:35:10.000Z,3836,2668,2
L846:T2:I3834,846,T2,2025-04-24T11:18:53.000Z,3834,2493,3
L846:T2:I3833,846,T2,2025-04-26T20:46:02.000Z,3833,1376,4
L846:T2:I3835,846,T2,2026-05-07T09:55:00.000Z,3835,1468,5
L847:T0,847,T0,2025-09-17T00:00:00.000Z,,,0
L847:T1:I3839,847,T1,2025-09-20T15:28:46.000Z,3839,1607,1
L847:T2:I3838,847,T2,2025-09-29T12:11:21.000Z,3838,2358,2
L848:T0,848,T0,2025-12-19T00:00:00.000Z,,,0
L848:T1:I3841,848,T1,2025-12-19T08:53:43.000Z,3841,1995,1
L848:T2:I3842,848,T2,2025-12-28T19:25:22.000Z,3842,1947,2
L848:T2:I3844,848,T2,2025-12-31T07:46:44.000Z,3844,2428,3
L848:T2:I3843,848,T2,2026-02-13T16:37:00.000Z,3843,1940,4
L848:T2:I3840,848,T2,2026-06-20T17:05:00.000Z,3840,1909,5
L849:T0,849,T0,2025-12-07T00:00:00.000Z,,,0
L849:T1:I3845,849,T1,2025-12-16T20:32:54.000Z,3845,1178,1
L849:T2:I3846,849,T2,2025-12-20T14:09:51.000Z,3846,165,2
L850:T0,850,T0,2025-08-03T00:00:00.000Z,,,0
L850:T1:I3847,850,T1,2025-08-09T09:15:36.000Z,3847,2125,1
L851:T0,851,T0,2026-05-15T00:00:00.000Z,,,0
L851:T1:I3848,851,T1,2026-05-22T09:58:03.000Z,3848,2923,1
L852:T0,852,T0,2025-06-14T00:00:00.000Z,,,0
L852:T1:I3855,852,T1,2025-06-15T15:42:55.000Z,3855,1654,1
L852:T2:I3849,852,T2,2025-06-19T12:41:32.000Z,3849,16,2
L852:T2:I3854,852,T2,2025-06-26T18:38:02.000Z,3854,1498,3
L852:T2:I3853,852,T2,2025-07-07T09:53:00.000Z,3853,1599,4
L852:T2:I3852,852,T2,2025-12-30T12:42:00.000Z,3852,628,5
L852:T2:I3851,852,T2,2025-12-31T17:34:00.000Z,3851,2616,6
L852:T2:I3850,852,T2,2026-06-25T08:48:00.000Z,3850,2634,7
L853:T0,853,T0,2025-11-24T00:00:00.000Z,,,0
L853:T1:I3860,853,T1,2025-11-28T18:33:37.000Z,3860,352,1
L853:T2:I3859,853,T2,2025-11-29T16:18:32.000Z,3859,61,2
L853:T2:I3858,853,T2,2025-12-02T07:07:04.000Z,3858,2013,3
L853:T2:I3856,853,T2,2025-12-03T10:00:50.000Z,3856,1906,4
L853:T2:I3857,853,T2,2026-01-06T20:15:00.000Z,3857,2520,5
L853:T2:I3861,853,T2,2026-03-15T08:12:00.000Z,3861,937,6
L854:T0,854,T0,2025-03-07T00:00:00.000Z,,,0
L854:T1:I3862,854,T1,2025-03-12T07:41:50.000Z,3862,262,1
L854:T2:I3863,854,T2,2025-03-19T08:44:32.000Z,3863,1000,2
L855:T0,855,T0,2025-03-13T00:00:00.000Z,,,0
L855:T1:I3864,855,T1,2025-07-12T14:05:00.000Z,3864,2980,1
L856:T0,856,T0,2026-05-12T00:00:00.000Z,,,0
L856:T1:I3866,856,T1,2026-05-14T13:20:57.000Z,3866,478,1
L856:T2:I3865,856,T2,2026-05-15T09:00:43.000Z,3865,1674,2
L856:T2:I3868,856,T2,2026-05-19T10:35:24.000Z,3868,585,3
L856:T2:I3867,856,T2,2026-05-19T18:51:21.000Z,3867,1541,4
L856:T2:I3869,856,T2,2026-06-05T08:18:00.000Z,3869,2074,5
L857:T0,857,T0,2026-01-23T00:00:00.000Z,,,0
L857:T1:I3870,857,T1,2026-01-31T12:26:53.000Z,3870,1780,1
L858:T0,858,T0,2025-12-31T00:00:00.000Z,,,0
L858:T1:I3871,858,T1,2026-01-08T17:52:17.000Z,3871,1135,1
L858:T2:I3872,858,T2,2026-04-17T16:55:00.000Z,3872,1798,2
L859:T0,859,T0,2025-07-14T00:00:00.000Z,,,0
L859:T1:I3875,859,T1,2025-07-16T19:01:56.000Z,3875,356,1
L859:T2:I3873,859,T2,2025-07-20T11:30:04.000Z,3873,1518,2
L859:T2:I3874,859,T2,2025-07-26T11:26:17.000Z,3874,1580,3
L860:T0,860,T0,2026-02-12T00:00:00.000Z,,,0
L860:T1:I3876,860,T1,2026-02-13T16:02:31.000Z,3876,1824,1
L860:T2:I3880,860,T2,2026-02-16T13:39:28.000Z,3880,1093,2
L860:T2:I3881,860,T2,2026-02-18T19:06:41.000Z,3881,733,3
L860:T2:I3879,860,T2,2026-02-19T11:35:18.000Z,3879,2540,4
L860:T2:I3878,860,T2,2026-02-23T10:52:58.000Z,3878,1928,5
L860:T2:I3877,860,T2,2026-05-11T18:29:00.000Z,3877,232,6
L861:T0,861,T0,2025-05-13T00:00:00.000Z,,,0
L861:T1:I3885,861,T1,2025-05-17T14:11:47.000Z,3885,828,1
L861:T2:I3886,861,T2,2025-05-25T11:30:33.000Z,3886,1511,2
L861:T2:I3883,861,T2,2025-10-11T15:01:00.000Z,3883,65,3
L861:T2:I3884,861,T2,2026-01-03T07:51:00.000Z,3884,1035,4
L861:T2:I3882,861,T2,2026-01-14T15:44:00.000Z,3882,2776,5
L862:T0,862,T0,2025-12-10T00:00:00.000Z,,,0
L862:T1:I3889,862,T1,2025-12-11T11:50:24.000Z,3889,1014,1
L862:T2:I3887,862,T2,2025-12-15T14:16:15.000Z,3887,526,2
L862:T2:I3888,862,T2,2025-12-18T16:57:43.000Z,3888,1096,3
L862:T2:I3890,862,T2,2025-12-20T08:48:47.000Z,3890,494,4
L862:T2:I3891,862,T2,2026-04-11T15:38:00.000Z,3891,334,5
L863:T0,863,T0,2026-04-09T00:00:00.000Z,,,0
L863:T1:I3893,863,T1,2026-04-18T19:21:47.000Z,3893,582,1
L863:T2:I3892,863,T2,2026-04-22T09:49:01.000Z,3892,2875,2
L863:T2:I3894,863,T2,2026-06-01T11:52:00.000Z,3894,2095,3
L864:T0,864,T0,2026-03-16T00:00:00.000Z,,,0
L864:T1:I3901,864,T1,2026-03-16T10:57:55.000Z,3901,227,1
L864:T2:I3899,864,T2,2026-03-26T09:50:21.000Z,3899,2835,2
L864:T2:I3896,864,T2,2026-03-27T15:40:19.000Z,3896,2069,3
L864:T2:I3902,864,T2,2026-03-28T17:20:51.000Z,3902,2770,4
L864:T2:I3900,864,T2,2026-03-28T19:48:59.000Z,3900,1654,5
L864:T2:I3897,864,T2,2026-03-28T20:05:22.000Z,3897,1077,6
L864:T2:I3895,864,T2,2026-04-19T07:26:00.000Z,3895,2738,7
L864:T2:I3898,864,T2,2026-06-04T18:18:00.000Z,3898,1149,8
L865:T0,865,T0,2025-11-02T00:00:00.000Z,,,0
L865:T1:I3903,865,T1,2025-11-02T16:22:05.000Z,3903,26,1
L865:T2:I3904,865,T2,2025-11-06T10:21:10.000Z,3904,1591,2
L865:T2:I3905,865,T2,2025-11-10T18:45:49.000Z,3905,2599,3
L866:T0,866,T0,2025-07-01T00:00:00.000Z,,,0
L866:T1:I3907,866,T1,2025-07-05T10:54:02.000Z,3907,2983,1
L866:T2:I3911,866,T2,2025-07-05T17:50:04.000Z,3911,2340,2
L866:T2:I3906,866,T2,2025-07-08T10:31:07.000Z,3906,2043,3
L866:T2:I3908,866,T2,2026-02-10T08:55:00.000Z,3908,1695,4
L866:T2:I3909,866,T2,2026-02-15T13:35:00.000Z,3909,740,5
L866:T2:I3910,866,T2,2026-04-22T09:38:00.000Z,3910,1368,6
L866:T2:I3912,866,T2,2026-06-09T12:40:00.000Z,3912,94,7
L867:T0,867,T0,2025-09-26T00:00:00.000Z,,,0
L867:T1:I3913,867,T1,2025-10-05T20:19:58.000Z,3913,1519,1
L867:T2:I3915,867,T2,2025-10-08T15:14:51.000Z,3915,1818,2
L867:T2:I3916,867,T2,2026-03-20T18:47:00.000Z,3916,519,3
L867:T2:I3914,867,T2,2026-06-14T10:49:00.000Z,3914,2800,4
