state,municipality,corridor,sector,month,similar_available_spots,avg_price_sqm_mxn,recent_occupancy_rate,absorption_velocity_days,recent_inquiry_volume
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Retail,2025-09-01,13,307.3,0.795,48.1,233
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Industrial,2026-06-01,20,183.44,0.948,170.1,343
Querétaro,Querétaro,juriquilla-juncos,Land,2024-05-01,15,53.91,0.557,132.7,57
San Luis Potosí,San Luis Potosí,lomas-carranza,Land,2024-02-01,9,43.94,0.588,166.5,458
Sonora,Hermosillo,centenario-colosio,Industrial,2026-05-01,11,156.59,0.867,121.8,285
Estado de México,Toluca,metepec-toluca,Industrial,2025-09-01,13,136.38,0.93,182.7,282
CDMX,Miguel Hidalgo,polanco,Retail,2025-12-01,9,277.28,0.761,50.8,351
Sonora,Hermosillo,centenario-colosio,Land,2025-07-01,23,39.88,0.533,280.9,100
Querétaro,Querétaro,centro-queretaro,Retail,2025-09-01,19,302.45,0.811,89.4,121
Estado de México,Toluca,metepec-toluca,Retail,2024-03-01,17,213.26,0.768,66.5,365
Baja California,Tijuana,zona-rio-aguacaliente,Industrial,2026-04-01,14,154.11,0.823,213.0,286
CDMX,Cuauhtémoc,roma-condesa,Retail,2024-03-01,17,297.83,0.713,116.6,351
Jalisco,Guadalajara,americana-chapultepec,Land,2025-12-01,18,38.94,0.693,309.0,269
Guanajuato,León,centro-leon,Retail,2026-04-01,10,282.73,0.785,61.0,111
Baja California,Tijuana,zona-rio-aguacaliente,Office,2024-02-01,7,358.31,0.89,174.1,184
Jalisco,Guadalajara,americana-chapultepec,Land,2025-03-01,10,44.05,0.681,278.3,465
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Industrial,2026-06-01,26,142.83,0.914,138.1,98
Jalisco,Zapopan,andares-puerta-hierro,Office,2025-07-01,15,355.86,0.899,123.6,93
San Luis Potosí,San Luis Potosí,lomas-carranza,Office,2025-08-01,23,327.68,0.895,163.0,408
CDMX,Miguel Hidalgo,polanco,Office,2025-07-01,24,334.26,0.897,169.0,234
Baja California,Tijuana,zona-rio-aguacaliente,Land,2024-11-01,16,48.89,0.644,330.0,72
Sonora,Hermosillo,centenario-colosio,Land,2025-06-01,16,41.45,0.644,185.7,295
Chihuahua,Chihuahua,centro-chihuahua,Retail,2024-10-01,21,329.21,0.733,77.0,132
Baja California,Tijuana,zona-rio-aguacaliente,Office,2025-12-01,17,314.02,0.854,112.5,445
Guanajuato,León,centro-leon,Industrial,2026-01-01,9,147.52,0.901,166.2,157
Baja California,Tijuana,zona-rio-aguacaliente,Office,2025-08-01,20,311.39,0.858,69.3,457
Sonora,Hermosillo,centenario-colosio,Office,2025-02-01,22,359.43,0.87,132.6,414
Sonora,Hermosillo,centenario-colosio,Office,2026-03-01,24,392.5,0.869,65.9,149
Estado de México,Toluca,metepec-toluca,Office,2024-11-01,18,276.22,0.832,113.9,449
Querétaro,Querétaro,centro-queretaro,Industrial,2025-11-01,15,156.42,0.822,130.8,334
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Land,2024-02-01,21,46.43,0.519,262.8,289
CDMX,Miguel Hidalgo,polanco,Land,2026-01-01,21,65.66,0.544,168.3,170
Jalisco,Zapopan,andares-puerta-hierro,Office,2024-02-01,10,296.59,0.844,115.0,126
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2026-04-01,23,145.38,0.922,179.5,214
Jalisco,Guadalajara,americana-chapultepec,Retail,2025-01-01,25,267.75,0.73,141.5,169
Jalisco,Zapopan,andares-puerta-hierro,Land,2024-09-01,14,34.86,0.655,166.7,237
Querétaro,Querétaro,juriquilla-juncos,Land,2024-07-01,25,47.11,0.674,266.4,253
Chihuahua,Chihuahua,centro-chihuahua,Office,2025-12-01,21,325.3,0.808,151.0,208
Jalisco,Guadalajara,americana-chapultepec,Office,2026-04-01,22,399.8,0.861,164.5,341
Chihuahua,Chihuahua,centro-chihuahua,Industrial,2026-02-01,10,145.2,0.827,91.5,166
Yucatán,Mérida,paseo-montejo,Retail,2026-05-01,15,274.8,0.709,66.7,480
Puebla,Puebla,angelopolis-lomas,Industrial,2026-03-01,7,150.09,0.873,226.0,129
Chihuahua,Chihuahua,centro-chihuahua,Industrial,2026-05-01,16,149.6,0.816,123.5,181
Estado de México,Toluca,metepec-toluca,Retail,2024-08-01,19,219.8,0.7,84.5,68
Querétaro,Querétaro,centro-queretaro,Office,2024-09-01,10,354.33,0.829,136.8,373
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Land,2024-05-01,16,42.55,0.605,216.2,329
CDMX,Miguel Hidalgo,polanco,Office,2025-05-01,19,401.5,0.796,129.5,152
Querétaro,Querétaro,juriquilla-juncos,Office,2025-11-01,24,363.38,0.755,119.2,409
Guanajuato,León,centro-leon,Land,2025-09-01,21,44.05,0.55,281.1,429
Puebla,Puebla,angelopolis-lomas,Office,2026-03-01,11,404.11,0.858,141.3,400
Baja California,Tijuana,zona-rio-aguacaliente,Office,2024-06-01,12,348.66,0.895,166.1,217
San Luis Potosí,San Luis Potosí,lomas-carranza,Industrial,2026-03-01,11,127.49,0.825,94.6,223
Nuevo León,Monterrey,macroplaza,Industrial,2026-03-01,20,145.99,0.857,211.8,464
CDMX,Benito Juárez,del-valle-narvarte,Land,2024-09-01,15,52.68,0.547,222.6,312
Guanajuato,León,centro-leon,Office,2024-01-01,21,344.9,0.885,94.6,466
CDMX,Cuauhtémoc,roma-condesa,Retail,2024-09-01,26,313.41,0.807,126.4,382
San Luis Potosí,San Luis Potosí,lomas-carranza,Office,2024-09-01,13,288.23,0.869,112.3,247
Jalisco,Guadalajara,americana-chapultepec,Office,2025-02-01,19,342.96,0.812,150.3,156
Nuevo León,Monterrey,macroplaza,Retail,2025-08-01,21,295.57,0.72,93.2,166
Querétaro,Querétaro,centro-queretaro,Retail,2025-12-01,15,343.91,0.737,86.3,248
Sonora,Hermosillo,centenario-colosio,Retail,2026-04-01,14,336.52,0.804,101.1,376
Estado de México,Toluca,metepec-toluca,Land,2025-11-01,22,44.38,0.595,224.4,232
Sonora,Hermosillo,centenario-colosio,Office,2024-03-01,13,365.6,0.855,67.0,370
Baja California,Tijuana,zona-rio-aguacaliente,Industrial,2025-11-01,22,159.51,0.902,230.7,99
Guanajuato,León,centro-leon,Office,2026-02-01,24,419.82,0.787,126.3,104
San Luis Potosí,San Luis Potosí,lomas-carranza,Office,2025-07-01,7,342.8,0.768,127.9,113
Jalisco,Guadalajara,americana-chapultepec,Retail,2024-06-01,16,231.13,0.815,61.1,148
Yucatán,Mérida,paseo-montejo,Retail,2024-12-01,12,263.15,0.701,99.9,461
Puebla,Puebla,angelopolis-lomas,Industrial,2025-06-01,14,122.97,0.928,181.5,162
CDMX,Miguel Hidalgo,polanco,Retail,2025-09-01,11,273.47,0.714,121.4,499
CDMX,Miguel Hidalgo,polanco,Industrial,2026-06-01,11,157.73,0.929,209.8,341
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2026-06-01,21,139.94,0.942,162.5,77
CDMX,Benito Juárez,del-valle-narvarte,Retail,2025-03-01,8,305.18,0.839,77.2,268
Puebla,Puebla,angelopolis-lomas,Retail,2024-07-01,17,335.66,0.723,93.5,484
CDMX,Cuauhtémoc,roma-condesa,Office,2025-09-01,19,400.34,0.899,160.0,204
Puebla,Puebla,angelopolis-lomas,Land,2025-11-01,6,62.6,0.504,147.0,258
Jalisco,Guadalajara,americana-chapultepec,Land,2024-11-01,19,43.45,0.507,293.1,404
Jalisco,Zapopan,andares-puerta-hierro,Retail,2024-09-01,24,311.21,0.839,53.1,152
Estado de México,Toluca,metepec-toluca,Office,2024-12-01,9,316.53,0.888,142.3,139
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Office,2025-08-01,25,415.56,0.887,116.7,167
Baja California,Tijuana,zona-rio-aguacaliente,Land,2024-05-01,7,49.84,0.622,138.7,326
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Retail,2025-02-01,23,221.14,0.806,108.2,278
Nuevo León,Monterrey,macroplaza,Office,2026-05-01,19,358.94,0.879,65.9,348
Jalisco,Guadalajara,americana-chapultepec,Retail,2025-12-01,24,245.16,0.768,139.2,230
Estado de México,Toluca,metepec-toluca,Retail,2024-01-01,8,209.39,0.758,118.0,455
Puebla,Puebla,angelopolis-lomas,Land,2024-07-01,15,57.83,0.51,363.2,239
Baja California,Tijuana,zona-rio-aguacaliente,Office,2025-04-01,15,361.86,0.762,79.5,69
Sonora,Hermosillo,centenario-colosio,Land,2025-10-01,10,41.17,0.514,283.8,499
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Office,2025-01-01,14,396.56,0.768,82.3,393
CDMX,Benito Juárez,del-valle-narvarte,Office,2025-05-01,24,344.44,0.87,103.5,113
CDMX,Cuauhtémoc,roma-condesa,Retail,2025-01-01,12,281.15,0.835,50.8,402
CDMX,Benito Juárez,del-valle-narvarte,Retail,2026-06-01,11,293.66,0.827,71.1,494
Yucatán,Mérida,paseo-montejo,Industrial,2026-02-01,16,137.95,0.849,211.3,253
CDMX,Miguel Hidalgo,polanco,Retail,2024-10-01,24,236.33,0.756,81.7,162
CDMX,Miguel Hidalgo,polanco,Industrial,2024-05-01,15,151.66,0.832,113.7,242
Jalisco,Zapopan,andares-puerta-hierro,Land,2025-01-01,8,34.13,0.522,182.4,488
San Luis Potosí,San Luis Potosí,lomas-carranza,Industrial,2026-01-01,22,139.59,0.892,126.0,493
Baja California,Tijuana,zona-rio-aguacaliente,Retail,2026-01-01,14,258.91,0.822,147.4,269
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2024-09-01,15,130.92,0.867,232.8,229
Querétaro,Querétaro,centro-queretaro,Land,2025-02-01,12,51.05,0.596,304.3,491
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Retail,2024-11-01,12,269.57,0.843,138.4,297
Chihuahua,Chihuahua,centro-chihuahua,Retail,2025-10-01,11,317.21,0.727,54.4,486
Querétaro,Querétaro,juriquilla-juncos,Office,2024-12-01,21,355.07,0.75,123.7,493
Estado de México,Toluca,metepec-toluca,Industrial,2025-10-01,22,165.16,0.92,117.7,145
Baja California,Tijuana,zona-rio-aguacaliente,Industrial,2025-07-01,13,165.38,0.895,163.6,438
Querétaro,Querétaro,juriquilla-juncos,Office,2025-07-01,14,412.84,0.83,134.7,230
Yucatán,Mérida,paseo-montejo,Office,2024-11-01,15,400.12,0.768,69.5,312
San Luis Potosí,San Luis Potosí,lomas-carranza,Retail,2024-11-01,20,274.58,0.714,123.0,412
Puebla,Puebla,angelopolis-lomas,Retail,2025-08-01,18,288.2,0.792,65.6,118
Sonora,Hermosillo,centenario-colosio,Retail,2026-01-01,12,331.49,0.745,146.2,67
San Luis Potosí,San Luis Potosí,lomas-carranza,Retail,2025-06-01,16,315.53,0.76,116.7,88
Querétaro,Querétaro,centro-queretaro,Industrial,2024-11-01,20,148.98,0.853,202.7,396
Querétaro,Querétaro,centro-queretaro,Land,2025-12-01,10,51.19,0.589,164.7,242
CDMX,Cuauhtémoc,roma-condesa,Industrial,2026-04-01,21,168.58,0.915,101.3,280
Baja California,Tijuana,zona-rio-aguacaliente,Retail,2026-04-01,14,276.48,0.776,106.1,263
Yucatán,Mérida,paseo-montejo,Land,2025-07-01,23,50.04,0.555,336.2,373
Jalisco,Zapopan,andares-puerta-hierro,Retail,2025-07-01,18,282.71,0.715,45.8,387
Puebla,Puebla,angelopolis-lomas,Retail,2026-05-01,10,318.2,0.705,87.3,267
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Office,2024-09-01,11,386.9,0.762,118.9,331
Querétaro,Querétaro,juriquilla-juncos,Retail,2024-01-01,24,333.42,0.831,58.6,485
Baja California,Tijuana,zona-rio-aguacaliente,Office,2026-03-01,20,322.29,0.864,61.7,364
Sonora,Hermosillo,centenario-colosio,Industrial,2026-01-01,23,147.44,0.948,211.7,268
Querétaro,Querétaro,juriquilla-juncos,Retail,2024-05-01,11,316.41,0.711,52.6,235
San Luis Potosí,San Luis Potosí,lomas-carranza,Retail,2025-04-01,12,308.37,0.792,111.5,74
Querétaro,Querétaro,juriquilla-juncos,Retail,2025-11-01,16,349.67,0.723,122.0,92
CDMX,Cuauhtémoc,roma-condesa,Retail,2026-06-01,14,327.02,0.729,61.2,131
Estado de México,Toluca,metepec-toluca,Industrial,2025-12-01,8,164.38,0.9,175.3,55
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Retail,2025-05-01,11,225.91,0.76,74.2,403
Jalisco,Zapopan,andares-puerta-hierro,Office,2025-08-01,18,313.96,0.848,83.3,417
Puebla,Puebla,angelopolis-lomas,Land,2025-10-01,11,59.01,0.662,348.8,296
Yucatán,Mérida,paseo-montejo,Land,2026-02-01,10,43.34,0.695,233.0,368
Jalisco,Guadalajara,americana-chapultepec,Retail,2025-03-01,18,282.54,0.789,82.4,309
Querétaro,Querétaro,juriquilla-juncos,Industrial,2025-09-01,10,151.5,0.852,173.2,101
Chihuahua,Chihuahua,centro-chihuahua,Office,2024-05-01,13,371.24,0.752,89.4,391
Estado de México,Toluca,metepec-toluca,Land,2024-02-01,19,37.66,0.562,264.4,52
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Land,2025-07-01,12,49.91,0.548,258.2,248
Jalisco,Zapopan,andares-puerta-hierro,Land,2026-05-01,21,41.34,0.522,187.5,355
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2024-07-01,11,125.76,0.812,108.3,186
Puebla,Puebla,angelopolis-lomas,Land,2025-12-01,17,64.87,0.622,334.7,307
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Office,2025-01-01,11,364.5,0.876,84.0,162
Yucatán,Mérida,paseo-montejo,Industrial,2024-12-01,23,125.32,0.852,175.3,289
Estado de México,Toluca,metepec-toluca,Office,2025-11-01,22,314.34,0.853,97.0,461
Baja California,Tijuana,zona-rio-aguacaliente,Land,2024-06-01,14,51.88,0.505,339.9,164
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Land,2024-03-01,12,45.2,0.622,349.4,298
CDMX,Benito Juárez,del-valle-narvarte,Retail,2025-04-01,13,310.1,0.827,55.3,466
Querétaro,Querétaro,juriquilla-juncos,Land,2024-10-01,9,46.81,0.687,160.2,63
Querétaro,Querétaro,centro-queretaro,Office,2024-08-01,11,395.71,0.827,111.7,188
Jalisco,Guadalajara,americana-chapultepec,Land,2025-10-01,16,38.05,0.67,181.3,52
Baja California,Tijuana,zona-rio-aguacaliente,Industrial,2026-02-01,15,154.79,0.914,199.4,57
Jalisco,Guadalajara,americana-chapultepec,Office,2026-05-01,11,355.51,0.757,106.0,88
Estado de México,Toluca,metepec-toluca,Land,2026-04-01,18,44.43,0.684,155.3,498
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Retail,2026-04-01,23,254.41,0.717,100.0,72
Sonora,Hermosillo,centenario-colosio,Land,2024-03-01,16,44.62,0.611,198.9,469
CDMX,Benito Juárez,del-valle-narvarte,Land,2025-06-01,25,51.03,0.538,137.7,109
Jalisco,Guadalajara,americana-chapultepec,Industrial,2025-09-01,22,135.46,0.801,186.8,375
CDMX,Benito Juárez,del-valle-narvarte,Office,2026-04-01,20,391.33,0.857,87.3,215
Jalisco,Zapopan,andares-puerta-hierro,Office,2024-08-01,23,291.29,0.884,110.3,218
San Luis Potosí,San Luis Potosí,lomas-carranza,Industrial,2026-04-01,17,127.02,0.87,179.8,354
Chihuahua,Chihuahua,centro-chihuahua,Land,2025-07-01,22,40.74,0.559,189.7,284
Querétaro,Querétaro,centro-queretaro,Office,2024-11-01,8,393.46,0.899,88.8,353
Chihuahua,Chihuahua,centro-chihuahua,Industrial,2026-03-01,16,139.93,0.845,199.3,224
CDMX,Cuauhtémoc,roma-condesa,Office,2025-06-01,25,390.0,0.858,124.6,137
Chihuahua,Chihuahua,centro-chihuahua,Retail,2024-02-01,22,298.64,0.776,61.4,278
Sonora,Hermosillo,centenario-colosio,Industrial,2024-09-01,9,133.36,0.886,230.9,152
CDMX,Benito Juárez,del-valle-narvarte,Office,2026-02-01,11,342.99,0.766,148.3,471
San Luis Potosí,San Luis Potosí,lomas-carranza,Industrial,2025-03-01,7,136.3,0.877,123.7,357
CDMX,Cuauhtémoc,roma-condesa,Office,2025-03-01,16,346.93,0.798,148.7,316
San Luis Potosí,San Luis Potosí,lomas-carranza,Industrial,2026-05-01,13,141.11,0.809,150.6,235
Nuevo León,Monterrey,macroplaza,Industrial,2026-01-01,19,157.62,0.934,218.5,432
Jalisco,Guadalajara,americana-chapultepec,Office,2024-01-01,9,362.37,0.78,130.6,471
Nuevo León,Monterrey,macroplaza,Industrial,2025-03-01,19,147.57,0.899,148.9,281
Sonora,Hermosillo,centenario-colosio,Land,2024-11-01,20,44.63,0.674,341.5,165
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2024-06-01,12,137.52,0.932,136.2,211
Querétaro,Querétaro,juriquilla-juncos,Office,2024-10-01,24,367.17,0.79,135.6,105
Querétaro,Querétaro,centro-queretaro,Retail,2024-06-01,20,313.57,0.806,111.1,405
Estado de México,Toluca,metepec-toluca,Land,2025-09-01,12,44.19,0.537,265.7,396
Yucatán,Mérida,paseo-montejo,Industrial,2025-02-01,22,122.01,0.813,124.4,168
CDMX,Cuauhtémoc,roma-condesa,Land,2026-04-01,21,42.89,0.556,304.4,496
Querétaro,Querétaro,juriquilla-juncos,Land,2025-09-01,8,46.73,0.551,207.6,479
Jalisco,Zapopan,andares-puerta-hierro,Industrial,2024-10-01,21,142.28,0.888,219.2,292
Baja California,Tijuana,zona-rio-aguacaliente,Land,2024-08-01,22,42.96,0.672,235.9,382
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Retail,2025-05-01,25,311.78,0.748,137.5,76
Yucatán,Mérida,paseo-montejo,Industrial,2024-08-01,9,136.54,0.932,136.8,139
Jalisco,Guadalajara,americana-chapultepec,Land,2024-12-01,25,41.11,0.525,253.0,176
Nuevo León,San Pedro Garza García,vasconcelos-calzada,Land,2024-08-01,14,46.36,0.647,186.9,455
Baja California,Tijuana,zona-rio-aguacaliente,Office,2026-04-01,14,362.09,0.809,165.3,492
CDMX,Benito Juárez,del-valle-narvarte,Industrial,2024-07-01,20,112.47,0.932,185.8,308
Sonora,Hermosillo,centenario-colosio,Land,2024-07-01,19,41.58,0.573,270.2,377
Estado de México,Toluca,metepec-toluca,Office,2024-04-01,7,283.11,0.752,71.8,191
Estado de México,Toluca,metepec-toluca,Land,2024-04-01,20,39.28,0.681,204.6,407
Guanajuato,León,centro-leon,Land,2024-05-01,11,46.06,0.542,281.2,437
CDMX,Benito Juárez,del-valle-narvarte,Land,2024-03-01,18,55.77,0.577,283.2,455
Sonora,Hermosillo,centenario-colosio,Land,2025-09-01,23,39.17,0.69,225.6,378
Baja California,Tijuana,zona-rio-aguacaliente,Office,2024-01-01,13,295.08,0.762,155.3,75
Estado de México,Naucalpan de Juárez,lomas-verdes-satelite,Land,2025-11-01,23,43.18,0.634,260.7,226
CDMX,Miguel Hidalgo,polanco,Industrial,2024-03-01,23,145.54,0.821,239.0,134
Nuevo León,Monterrey,macroplaza,Land,2026-03-01,18,35.62,0.512,174.2,230
CDMX,Miguel Hidalgo,polanco,Office,2025-01-01,9,388.15,0.886,138.8,137
Puebla,Puebla,angelopolis-lomas,Retail,2025-06-01,7,295.59,0.81,52.6,230
San Luis Potosí,San Luis Potosí,lomas-carranza,Office,2025-03-01,15,336.07,0.808,123.4,216
Guanajuato,León,centro-leon,Office,2026-06-01,24,351.78,0.761,67.9,461
Nuevo León,Monterrey,macroplaza,Land,2026-06-01,19,41.17,0.686,187.8,123
Baja California,Tijuana,zona-rio-aguacaliente,Office,2025-02-01,9,366.47,0.814,88.8,287
Puebla,Puebla,angelopolis-lomas,Office,2025-01-01,19,361.13,0.78,72.0,461
Jalisco,Guadalajara,americana-chapultepec,Industrial,2025-03-01,24,131.11,0.871,230.3,377
Nuevo León,Monterrey,macroplaza,Retail,2024-06-01,25,270.41,0.798,112.4,243
Puebla,Puebla,angelopolis-lomas,Retail,2024-08-01,18,303.45,0.774,61.7,122
San Luis Potosí,San Luis Potosí,lomas-carranza,Industrial,2025-09-01,13,118.96,0.825,205.8,112
Puebla,Puebla,angelopolis-lomas,Land,2025-06-01,14,56.26,0.646,191.8,469
CDMX,Miguel Hidalgo,polanco,Office,2025-10-01,14,325.71,0.794,161.0,453
CDMX,Cuauhtémoc,roma-condesa,Industrial,2026-02-01,23,149.2,0.892,183.1,358
CDMX,Miguel Hidalgo,polanco,Land,2024-05-01,25,61.59,0.635,328.6,184
CDMX,Cuauhtémoc,roma-condesa,Industrial,2025-10-01,10,139.6,0.824,104.3,366
Guanajuato,León,centro-leon,Industrial,2025-09-01,21,138.85,0.83,101.8,115
Jalisco,Guadalajara,americana-chapultepec,Retail,2025-04-01,16,275.01,0.805,136.7,441
Jalisco,Zapopan,andares-puerta-hierro,Retail,2024-06-01,13,292.59,0.747,102.5,56
